team,name,caps,position,years_since_debut,debut,age,approx_age_debuted,height_cm,weight_kg
Australia,Stephen Moore,102,Hooker,10.5,11-Jun-05,32,22,186,112
Japan,Male Sau,26,Centre,2.6,20-Apr-13,28,25,183,97
South Africa,Pieter-Steph Du Toit,8,Lock,2,9-Nov-13,23,21,200,115
Japan,Harumichi Tatekawa,43,Centre,3.6,28-Apr-12,25,21,181,94
New Zealand,Beauden Barrett,36,Fly Half,3.4,23-Jun-12,24,21,187,91
Argentina,Martín Landajo,52,Scrum Half,5.5,21-May-10,27,22,171,81
New Zealand,Ben Smith,48,Wing,6,14-Nov-09,29,23,186,94
Scotland,David Denton,32,Back Row,4.3,6-Aug-11,25,21,196,114
Samoa,Wayne Ole Avei,24,Hooker,4.4,2-Jul-11,32,28,178,114
Japan,Hitoshi Ono,96,Lock,11.5,16-May-04,37,26,192,106
Tonga,Will Helu,23,Wing,5.4,19-Jun-10,29,24,190,89
Wales,Luke Charteris,62,Lock,11.1,6-Nov-04,32,21,206,125
Tonga,Latiume Fosita,14,Fly Half,2,16-Nov-13,23,21,187,97
England,Jack Nowell,10,Wing,1.8,1-Feb-14,22,20,180,89
Fiji,Leroy Atalifo,4,Prop,1.4,28-Jun-14,27,26,180,130
New Zealand,Codie Taylor,4,Hooker,0.4,17-Jul-15,24,24,183,106
Japan,Kenki Fukuoka,17,Wing,2.6,20-Apr-13,23,20,175,83
New Zealand,Colin Slade,21,Fly Half,5.2,11-Sep-10,28,23,183,90
USA,Danny Barrett,13,Back Row,1.5,7-Jun-14,25,24,193,97
USA,Blaine Scully,29,Wing,4.4,18-Jun-11,27,23,192,92
USA,Mike Petri,57,Scrum Half,8.2,30-Sep-07,31,23,180,86
Namibia,Damian Stevens,4,Scrum Half,0.3,8-Aug-15,20,20,175,82
Samoa,Fa'atoina Autagavaia,18,Full Back,3.5,5-Jun-12,27,24,178,82
Canada,Doug Wooldridge,23,Prop,6.5,23-May-09,29,23,180,106
Namibia,Danie Van Wyk,15,Centre,4.5,10-Jun-11,29,25,188,91
Canada,Connor Braid,19,Fly Half,5.1,6-Nov-10,25,20,185,82
Fiji,Taniela Koroi,3,Prop,1,21-Nov-14,25,24,184,115
Uruguay,Juan De Freitas,41,Back Row,6,21-Nov-09,25,19,181,97
Samoa,Kane Thompson,33,Lock,8.5,19-May-07,33,25,198,113
Italy,Valerio Bernabò,27,Lock,11,27-Nov-04,31,20,198,110
New Zealand,Richie McCaw,148,Back Row,14,17-Nov-01,34,20,187,105
Fiji,Nemia Kenatale,37,Scrum Half,7.4,22-Jun-08,29,22,179,85
Fiji,Tevita Cavubati,12,Lock,4.4,2-Jul-11,28,24,200,120
Georgia,Vazha Khutsishvili,20,Scrum Half,2.8,23-Feb-13,22,19,165,73
Ireland,Jared Payne,10,Centre,1,8-Nov-14,30,29,188,95
Australia,Adam Ashley-Cooper,114,Centre,10.3,20-Aug-05,31,21,182,98
Scotland,Grant Gilchrist,12,Lock,2.7,16-Mar-13,25,22,202,120
France,Wesley Fofana,39,Centre,3.8,4-Feb-12,27,23,182,93
New Zealand,Luke Romano,22,Lock,3.4,23-Jun-12,29,26,199,113
France,Noa Nakaitaci,8,Wing,0.7,15-Mar-15,25,24,190,97
Wales,Ken Owens,34,Hooker,4.2,26-Sep-11,28,24,184,108
Scotland,Sean Maitland,20,Wing,2.8,2-Feb-13,27,24,188,98
Romania,Adrian Apostol,22,Wing,4.5,10-Jun-11,25,21,187,93
Samoa,Iosefa Tekori,34,Lock,8.5,9-Jun-07,31,23,198,119
Scotland,Alasdair Dickinson,52,Prop,8.2,23-Sep-07,32,24,185,111
South Africa,Lodewyk De Jager,19,Lock,1.5,14-Jun-14,22,21,205,125
New Zealand,Keven Mealamu,132,Hooker,13,23-Nov-02,36,23,181,109
Argentina,Marcelo Bosch,39,Centre,8.5,9-Jun-07,31,23,186,92
Scotland,Alasdair Strokosch,47,Back Row,9,25-Nov-06,32,23,191,109
France,Morgan Parra,66,Scrum Half,7.8,3-Feb-08,27,19,180,83
Namibia,Torsten Van Jaarsveld,11,Hooker,1.1,29-Oct-14,28,27,173,100
Tonga,Hale T Pole,33,Back Row,8.8,10-Feb-07,36,27,190,109
Canada,Ray Barkwill,26,Hooker,3,9-Nov-12,35,32,180,103
England,Courtney Lawes,42,Lock,6.1,7-Nov-09,26,20,201,115
France,Pascal Pape,65,Lock,11.8,14-Feb-04,35,23,195,118
Ireland,Rhys Ruddock,6,Back Row,5.4,26-Jun-10,25,20,191,111
England,Kieran Brookes,15,Prop,1.5,14-Jun-14,25,24,186,122
England,George Kruis,10,Lock,1,8-Nov-14,25,24,198,112
Georgia,Konstantine Mikautadze,40,Lock,5.5,11-Jun-10,24,19,200,125
Romania,Madalin Lemnaru,30,Wing,6.8,7-Feb-09,26,19,188,95
Samoa,Maurie Faasavalu,27,Back Row,13.4,6-Jul-02,35,22,191,112
Tonga,Sitiveni Mafi,17,Back Row,5.5,12-Jun-10,25,20,196,102
Scotland,Peter Horne,15,Centre,2.5,8-Jun-13,26,24,183,92
Australia,Bernard Foley,27,Fly Half,2.1,5-Oct-13,26,24,182,89
Japan,Amanaki Mafi,7,Back Row,1,15-Nov-14,25,24,189,112
Japan,Luke Thompson,63,Lock,8.6,29-Apr-07,34,25,196,108
Canada,Jamie Mackenzie,8,Scrum Half,5.1,6-Nov-10,26,21,175,89
Uruguay,Agustin Ormaechea,27,Scrum Half,4,13-Nov-11,24,20,176,86
South Africa,Schalk Burger,86,Back Row,12.1,24-Oct-03,32,20,193,110
Japan,Shoji Ito,36,Lock,3.6,28-Apr-12,34,30,191,100
Uruguay,Carlos Arboleya,54,Hooker,11.1,30-Oct-04,30,19,173,110
New Zealand,Ma'a Nonu,103,Centre,12.5,14-Jun-03,33,21,182,108
Georgia,Merab Kvirikashvili,88,Full Back,12.8,16-Feb-03,31,18,177,80
South Africa,Trevor Nyakane,23,Prop,2.5,8-Jun-13,26,24,178,120
Uruguay,Alejo Corral,50,Prop,6,14-Nov-09,34,28,179,105
England,Richard Wigglesworth,27,Scrum Half,7.8,10-Feb-08,32,24,176,86
Namibia,Johan Tromp,22,Full Back,3,10-Nov-12,24,21,183,91
South Africa,Jannie Du Plessis,70,Prop,8.4,7-Jul-07,33,25,187,123
Namibia,JC Greyling,10,Centre,1.1,29-Oct-14,24,23,187,92
Tonga,Kurt Morath,30,Fly Half,6,28-Nov-09,31,25,186,85
Tonga,Sione Piukala,17,Centre,3,10-Nov-12,30,27,180,105
Italy,Marcello Violi,2,Scrum Half,0.3,22-Aug-15,22,22,176,83
South Africa,Frans Malherbe,12,Prop,2,9-Nov-13,24,22,190,123
Italy,Samuela Vunisa,11,Back Row,1,22-Nov-14,27,26,189,117
Namibia,Johnny Redelinghuys,49,Prop,9.2,9-Sep-06,31,22,184,127
Canada,Brett Beukeboom,18,Lock,3.5,9-Jun-12,25,22,196,113
Romania,Michael Wiringi,4,Fly Half,0.4,21-Jun-15,30,30,173,87
USA,Samu Manoa,15,Lock,5,27-Nov-10,30,25,198,122
Italy,Enrico Bacchin,5,Centre,0.7,28-Feb-15,22,21,182,97
Scotland,Sam Hidalgo-Clyne,8,Scrum Half,0.8,7-Feb-15,22,21,175,87
Australia,Wycliff Palu,57,Back Row,9.4,17-Jun-06,33,24,194,115
South Africa,Fourie Du Preez,76,Scrum Half,11.5,12-Jun-04,33,22,183,88
Ireland,Richardt Strauss,13,Hooker,3,10-Nov-12,29,26,175,101
Samoa,Viliamu Afatia,14,Prop,3.5,5-Jun-12,25,22,181,106
Argentina,Matías Moroni,8,Centre,1.4,20-Jun-14,24,23,184,85
Fiji,Viliame Veikoso,32,Hooker,6,14-Nov-09,33,27,178,102
Fiji,Lepani Botia,7,Centre,2,9-Nov-13,26,24,178,98
South Africa,Victor Matfield,127,Lock,14.4,30-Jun-01,38,24,201,110
Australia,Kurtley Beale,60,Fly Half,6,28-Nov-09,26,20,184,92
Argentina,Javier Ortega Desio,19,Back Row,3.5,20-May-12,25,22,193,104
Australia,Scott Sio,16,Prop,2.3,17-Aug-13,24,22,187,115
Japan,Atsushi Hiwasa,51,Scrum Half,4.6,30-Apr-11,28,23,166,72
South Africa,Willie Le Roux,34,Full Back,2.5,8-Jun-13,26,24,186,90
Japan,Ayumu Goromaru,57,Full Back,10.6,16-Apr-05,29,18,185,99
New Zealand,Owen Franks,78,Prop,6.4,27-Jun-09,27,21,185,118
USA,Andrew Durutalo,12,Back Row,3.5,9-Jun-12,28,25,187,102
USA,Folau Niua,17,Full Back,2.3,17-Aug-13,30,28,180,92
Australia,Will Skelton,14,Lock,1.4,21-Jun-14,23,22,203,140
Namibia,Eugene Jantjies,46,Scrum Half,9.5,27-May-06,29,20,177,87
USA,Matekitonga Moeakiola,32,Prop,8.2,8-Sep-07,37,29,183,118
Ireland,Jack McGrath,25,Prop,2,9-Nov-13,26,24,185,118
Ireland,Cian Healy,56,Prop,6,15-Nov-09,28,22,185,112
Scotland,Jon Welsh,11,Prop,3.7,17-Mar-12,29,25,185,111
Georgia,Viktor Kolelishvili,36,Back Row,7.4,20-Jun-08,26,19,192,104
Uruguay,Juan Manuel Gaminara,27,Back Row,5,13-Nov-10,26,21,175,95
France,Alexandre Dumoulin,8,Centre,1,8-Nov-14,26,25,189,98
Ireland,Sean Cronin,48,Hooker,6,21-Nov-09,29,23,180,101
England,Danny Care,53,Scrum Half,7.5,14-Jun-08,28,21,175,85
Australia,Sekope Kepu,63,Prop,7.1,8-Nov-08,29,22,188,118
Wales,Liam Williams,26,Full Back,3.5,2-Jun-12,24,21,188,87
Ireland,Rob Kearney,67,Full Back,8.5,2-Jun-07,29,21,185,95
France,Eddy Ben Arous,12,Prop,2.4,22-Jun-13,25,23,184,109
Ireland,Sean O'Brien,41,Back Row,6,21-Nov-09,28,22,188,108
Namibia,Johan Deysel,12,Centre,2,16-Nov-13,24,22,184,94
Canada,Richard Thorpe,8,Back Row,1,14-Nov-14,31,30,187,105
Romania,Otar Turashvili,25,Hooker,3.5,8-Jun-12,29,26,184,118
Uruguay,Jorge Zerbino,14,Lock,0.6,11-Apr-15,23,22,192,112
Fiji,Metuisela Talebula,19,Full Back,3.4,16-Jun-12,24,21,186,88
Namibia,Raoul Larson,8,Prop,4.2,10-Sep-11,31,27,185,125
England,Tom Youngs,28,Hooker,3,10-Nov-12,28,25,175,102
South Africa,Francois Louw,43,Back Row,5.5,5-Jun-10,30,25,190,114
Tonga,Soane Tonga'uiha,18,Prop,10,12-Nov-05,33,23,194,115
Argentina,Nahuel Tetaz Chaparro,22,Prop,5.5,23-May-10,26,21,188,121
Georgia,Lasha Lomidze,15,Back Row,2.8,23-Feb-13,23,20,195,108
Argentina,Mariano Galarza,25,Lock,5.5,12-Jun-10,29,24,203,115
Samoa,Vavao Afemai,8,Scrum Half,1.5,30-May-14,23,22,168,65
New Zealand,Sonny Bill Williams,33,Centre,5.1,6-Nov-10,30,25,191,108
Fiji,Waisea Nayacalevu,13,Wing,3.5,5-Jun-12,25,22,195,97
Scotland,Tommy Seymour,22,Wing,2.4,15-Jun-13,27,25,183,95
Wales,Jamie Roberts,74,Centre,7.8,9-Feb-08,29,21,193,110
South Africa,Morne Steyn,60,Fly Half,6.4,20-Jun-09,31,25,186,91
England,Billy Vunipola,21,Back Row,2.5,8-Jun-13,23,21,188,126
Samoa,Ken Pisi,10,Wing,3.5,5-Jun-12,26,23,180,89
Italy,Quintin Geldenhuys,61,Lock,6.5,13-Jun-09,34,28,203,118
Fiji,Asaeli Tikoirotuma,17,Wing,2,9-Nov-13,29,27,186,93
Argentina,Santiago Cordero,18,Wing,2,9-Nov-13,21,19,176,79
Wales,Tyler Morgan,3,Centre,0.3,8-Aug-15,20,20,186,103
England,Jonathan Joseph,16,Centre,3.5,9-Jun-12,24,21,183,93
New Zealand,Tony Woodcock,118,Prop,13,23-Nov-02,34,21,184,120
Argentina,Tomas Lavanini,27,Lock,2.6,27-Apr-13,22,19,200,118
Argentina,Jeronimo De La Fuente,19,Centre,1.5,17-May-14,24,23,183,93
Australia,Kane Douglas,23,Lock,3.2,15-Sep-12,26,23,202,123
France,Remi Tales,24,Fly Half,2.4,15-Jun-13,31,29,186,93
Canada,Tyler Ardron,22,Back Row,3.5,9-Jun-12,24,21,194,110
Georgia,Nikoloz Khatiashvili,2,Prop,0.5,13-Jun-15,23,23,177,113
Samoa,Faifili Levave,10,Back Row,2,9-Nov-13,29,27,194,100
Georgia,Karlen Asieshvili,16,Prop,7.4,20-Jun-08,28,21,184,112
New Zealand,Kieran Read,84,Back Row,7.1,8-Nov-08,30,23,193,110
Scotland,Willem Nel,8,Prop,0.3,22-Aug-15,29,29,182,120
France,Damien Chouly,36,Back Row,8.5,2-Jun-07,29,21,192,109
Scotland,Matt Scott,33,Centre,3.7,10-Mar-12,25,21,186,101
Scotland,Stuart Hogg,38,Full Back,3.8,12-Feb-12,23,19,180,93
England,Henry Slade,2,Centre,0.3,15-Aug-15,22,22,190,90
Ireland,Peter O'Mahony,35,Back Row,3.8,25-Feb-12,26,22,191,107
Namibia,Janco Venter,11,Lock,2,8-Nov-13,21,19,193,100
Uruguay,Matias Beer,15,Utility Forward,1.6,26-Apr-14,21,19,193,87
Namibia,Jaco Engels,15,Prop,2.5,11-Jun-13,34,32,185,122
Italy,Tommaso Allan,21,Fly Half,2,9-Nov-13,22,20,184,87
Romania,Tudorel Bratu,1,Scrum Half,0.1,11-Oct-15,24,24,175,80
Ireland,Eoin Reddan,68,Scrum Half,9.8,11-Feb-06,35,25,178,83
Wales,Dan Biggar,39,Fly Half,7,14-Nov-08,26,19,185,94
Fiji,Peceli Yato,6,Back Row,0.4,18-Jul-15,22,22,183,104
Samoa,Rey Lee-Lo,6,Centre,1,14-Nov-14,29,28,181,90
Tonga,Viliami Ma'afu,28,Back Row,4.5,8-Jun-11,33,29,190,109
England,Dan Cole,56,Prop,5.8,6-Feb-10,28,22,189,118
Wales,Justin Tipuric,38,Back Row,4.3,20-Aug-11,26,22,186,101
Japan,Akihito Yamada,15,Wing,2,15-Nov-13,30,28,181,90
Canada,Matt Evans,32,Full Back,7.1,8-Nov-08,27,20,183,93
Argentina,Julian Montoya,16,Hooker,1.5,17-May-14,22,21,183,110
Tonga,Sonatane Takulua,14,Scrum Half,1.5,7-Jun-14,24,23,180,95
Canada,Nanyak Dala,37,Back Row,8.5,2-Jun-07,31,23,178,100
Georgia,Mikheil Nariashvili,32,Prop,3.8,11-Feb-12,25,21,186,118
France,Yannick Nyanga,46,Back Row,11.4,3-Jul-04,31,20,188,103
Italy,Alberto De Marchi,29,Prop,3.5,9-Jun-12,29,26,183,117
Ireland,Tommy Bowe,67,Wing,11,20-Nov-04,31,20,190,96
Scotland,Richie Gray,51,Lock,5.8,7-Feb-10,26,20,207,126
Wales,Rhys Priestland,40,Fly Half,4.8,12-Feb-11,28,23,182,90
Uruguay,Mateo Sanguinetti,18,Prop,1.6,26-Apr-14,23,21,185,105
England,Jonny May,19,Wing,2.4,15-Jun-13,25,23,189,90
Fiji,Kini Murimurivalu,13,Full Back,4.4,2-Jul-11,26,22,184,94
USA,Chris Baumann,7,Prop,0.3,29-Jul-15,28,28,183,118
USA,Greg Peterson,11,Lock,1,8-Nov-14,24,23,204,123
England,Jamie George,3,Hooker,0.3,22-Aug-15,25,25,183,109
Canada,Gordon McRorie,15,Scrum Half,1.5,7-Jun-14,27,26,178,80
Canada,Evan Olmstead,7,Lock,0.3,29-Jul-15,24,24,197,115
Japan,Karne Hesketh,14,Wing,1,15-Nov-14,30,29,178,98
Argentina,Facundo Isa,13,Back Row,1,8-Nov-14,22,21,188,103
England,Brad Barritt,26,Centre,3.8,4-Feb-12,29,25,185,95
Wales,Gareth Anscombe,3,Full Back,0.3,8-Aug-15,24,24,184,90
Italy,Andrea Masi,95,Full Back,16.3,26-Aug-99,34,18,183,99
New Zealand,Charlie Faumuina,33,Prop,3.2,8-Sep-12,28,25,184,128
England,Tom Wood,42,Back Row,4.8,4-Feb-11,29,24,193,108
Romania,Alexandru Tarus,9,Prop,2.5,12-Jun-13,26,24,184,111
Wales,Dominic Day,3,Lock,0.3,8-Aug-15,30,30,196,116
Italy,Michele Campagnaro,18,Centre,2,16-Nov-13,22,20,184,91
Japan,Craig Wing,11,Centre,2.5,10-May-13,35,33,180,90
Uruguay,Leandro Leivas,44,Wing,7.1,8-Nov-08,27,20,181,98
Namibia,Tinus Du Plessis,47,Back Row,9.2,9-Sep-06,31,22,195,104
Japan,Keita Inagaki,10,Prop,1,15-Nov-14,25,24,183,115
Italy,Luke McLean,75,Full Back,7.4,21-Jun-08,28,21,190,98
Italy,Francesco Minto,23,Back Row,3,17-Nov-12,28,25,193,107
USA,Seamus Kelly,23,Centre,2.5,25-May-13,24,22,178,91
France,Fulgence Ouedraogo,39,Back Row,8.5,9-Jun-07,29,21,191,100
England,Alex Goode,19,Full Back,3.4,16-Jun-12,27,24,180,91
Uruguay,Gaston Mieres,41,Full Back,5.5,16-May-10,26,21,181,80
Argentina,Tomas Cubelli,45,Scrum Half,5.5,21-May-10,26,21,175,79
South Africa,Willem Alberts,38,Back Row,5,13-Nov-10,31,26,192,120
Ireland,Paul O'Connell,108,Lock,13.8,3-Feb-02,36,22,198,112
Romania,Valentin Poparlan,51,Lock,8.5,16-Jun-07,28,20,196,117
Romania,Stelian Burcea,53,Back Row,9.4,17-Jun-06,32,23,189,107
Georgia,Davit Kubriashvili,40,Prop,7.8,2-Feb-08,28,20,183,122
Argentina,Juan Figallo,24,Prop,5.4,26-Jun-10,27,22,190,115
England,George Ford,17,Fly Half,1.7,9-Mar-14,22,20,175,80
Samoa,Ma'atulimanu Leiataua,9,Hooker,2.5,8-Jun-13,28,26,180,106
USA,Matthew Trouville,5,Back Row,1,8-Nov-14,29,28,190,100
Tonga,Telusa Veainu,8,Wing,0.4,18-Jul-15,24,24,190,103
Namibia,Eneill Buitendag,15,Scrum Half,5.8,23-Jan-10,26,20,187,97
Namibia,Russel Van Wyk,7,Wing,0.4,21-Jun-15,25,25,180,88
Canada,Phil Mack,31,Scrum Half,6.5,23-May-09,30,24,170,77
Romania,Ovidiu Tonita,72,Back Row,15.8,6-Feb-00,35,19,195,109
Samoa,Jack Lam,19,Back Row,2.5,8-Jun-13,28,26,183,101
USA,Shalom Suniula,16,Fly Half,1.7,22-Mar-14,27,25,180,86
Australia,Dean Mumm,44,Lock,7.5,14-Jun-08,31,24,196,109
Samoa,Census Johnston,52,Prop,10.5,11-Jun-05,34,24,190,135
Scotland,John Hardie,5,Back Row,0.3,22-Aug-15,27,27,183,102
Romania,Mihaita Lazar,51,Prop,7.7,22-Mar-08,29,21,186,118
New Zealand,TJ Perenara,17,Scrum Half,1.5,7-Jun-14,23,22,183,94
Japan,Michael Broadhurst,26,Back Row,3,10-Nov-12,29,26,196,111
Namibia,AJ De Klerk,7,Prop,0.4,17-Jun-15,23,23,178,128
Japan,Masataka Mikami,32,Prop,2.6,20-Apr-13,27,24,178,115
Scotland,Richie Vernon,24,Centre,6,14-Nov-09,28,22,195,102
France,Dimitri Szarzewski,83,Hooker,11.4,10-Jul-04,32,21,181,101
Georgia,Beka Tsiklauri,23,Full Back,7.4,20-Jun-08,26,19,180,87
France,Rory Kockott,11,Scrum Half,1,8-Nov-14,29,28,180,89
Uruguay,Alejandro Nieto,31,Back Row,3.5,20-May-12,27,24,186,108
Uruguay,Franco Lamanna,25,Utility Forward,3.5,8-Jun-12,24,21,188,100
USA,AJ MacGinty,8,Fly Half,0.4,18-Jul-15,25,25,183,87
Namibia,Renaldo Bothma,10,Back Row,1.4,28-Jun-14,26,25,190,113
Argentina,Lucas Gonzalez Amorosino,48,Wing,8,15-Dec-07,30,22,185,93
Tonga,Joseph Tuineau,25,Lock,4.4,2-Jul-11,34,30,203,120
Wales,Aaron Jarvis,16,Prop,3,10-Nov-12,29,26,183,116
Uruguay,Fernando Bascou,26,Back Row,4,13-Nov-11,28,24,188,96
Japan,Toshiaki Hirose,28,Wing,8.6,29-Apr-07,34,25,173,82
Tonga,Opeti Fonua,8,Back Row,6.5,13-Jun-09,29,23,198,120
Argentina,Juan Pablo Orlandi,20,Prop,7.1,8-Nov-08,32,25,190,119
Italy,Andrea Manici,16,Hooker,2.4,15-Jun-13,25,23,183,103
Georgia,Simon Maisuradze,33,Hooker,7.8,23-Feb-08,29,21,180,108
New Zealand,Joe Moody,11,Prop,1.3,16-Aug-14,27,26,188,112
Australia,Tatafu Polota-Nau,61,Hooker,10,12-Nov-05,30,20,181,114
USA,Chris Wyles,54,Full Back,8.5,18-May-07,32,24,183,93
USA,Thretton Palamo,13,Centre,8.2,30-Sep-07,27,19,193,104
France,Mathieu Bastareaud,39,Centre,6.7,27-Feb-09,27,20,183,125
South Africa,Adriaan Strauss,54,Hooker,7.4,19-Jul-08,30,23,184,112
New Zealand,Malakai Fekitoa,13,Centre,1.5,7-Jun-14,23,22,187,99
Tonga,Viliami Tahitua,3,Centre,0.3,24-Jul-15,23,23,180,105
Namibia,Theuns Kotze,29,Fly Half,4.5,15-Jun-11,29,25,175,86
USA,John Quill,17,Back Row,3,9-Nov-12,25,22,187,102
England,David Wilson,44,Prop,6.5,6-Jun-09,30,24,188,122
France,Scott Spedding,14,Full Back,1,8-Nov-14,29,28,186,100
Japan,Kensuke Hatakeyama,72,Prop,7,16-Nov-08,30,23,178,115
Australia,Henry Speight,5,Wing,1,22-Nov-14,27,26,186,97
Georgia,Tamaz Mchedlidze,35,Wing,2.8,2-Feb-13,22,19,194,108
Georgia,Alexander Todua,50,Wing,7.7,29-Mar-08,28,20,183,92
Ireland,Iain Henderson,23,Lock,3,10-Nov-12,23,20,198,114
Georgia,Murazi Giorgadze,9,Wing,1.5,14-Jun-14,21,20,182,85
France,Thierry Dusautoir,80,Back Row,9.4,17-Jun-06,34,25,188,103
Wales,Scott Baldwin,15,Hooker,2.4,15-Jun-13,27,25,190,115
Canada,Conor Trainor,22,Centre,4.5,8-Jun-11,25,21,188,95
Namibia,Leneve Damens,5,Back Row,0.5,6-Jun-15,22,22,186,100
Canada,Ciaran Hearn,49,Centre,7.1,8-Nov-08,29,22,190,100
England,Sam Burgess,5,Centre,0.3,15-Aug-15,26,26,193,116
New Zealand,Wyatt Crockett,45,Prop,6.4,27-Jun-09,32,26,193,116
Ireland,Jordi Murphy,14,Back Row,1.8,22-Feb-14,24,22,188,108
France,Guilhem Guirado,38,Hooker,7.7,9-Mar-08,29,21,180,109
Tonga,Sosefo Maake,1,Scrum Half,0.3,29-Jul-15,24,24,179,97
Australia,Tevita Kuridrani,31,Centre,2.3,17-Aug-13,24,22,192,102
South Africa,Zane Kirchner,31,Full Back,6.4,4-Jul-09,31,25,184,92
Ireland,Devin Toner,31,Lock,5,13-Nov-10,29,24,208,124
Argentina,Leonardo Senatore,34,Back Row,4.2,2-Oct-11,31,27,191,106
France,Nicolas Mas,85,Prop,12.4,28-Jun-03,35,23,180,108
Japan,Ryu Koliniasi Holani,44,Back Row,7.6,10-May-08,34,26,188,112
Australia,Michael Hooper,51,Back Row,3.5,5-Jun-12,24,21,182,101
South Africa,Schalk Brits,10,Hooker,7.4,21-Jun-08,34,27,182,100
South Africa,Bryan Habana,117,Wing,11,20-Nov-04,32,21,179,94
Australia,Sean McMahon,6,Back Row,1,8-Nov-14,21,20,186,100
Samoa,Anthony Perenise,28,Prop,5.5,12-Jun-10,33,28,182,118
France,Frederic Michalak,77,Fly Half,14.1,10-Nov-01,33,19,180,87
Samoa,Alesana Tuilagi,37,Wing,13.4,22-Jun-02,34,21,194,111
Namibia,Conrad Marais,10,Wing,5,20-Nov-10,26,21,193,103
Georgia,Levan Datunashvili,75,Lock,11.8,22-Feb-04,32,20,196,114
Scotland,Duncan Weir,21,Fly Half,3.8,26-Feb-12,24,20,176,90
Wales,Mike Phillips,94,Scrum Half,12.3,27-Aug-03,33,21,191,102
Argentina,Nicolas Sanchez,39,Fly Half,5.5,21-May-10,27,22,177,83
South Africa,Jean De Villiers,109,Centre,13.1,9-Nov-02,34,21,190,100
New Zealand,Daniel Carter,112,Fly Half,12.4,21-Jun-03,33,21,178,96
Australia,Ben McCalman,47,Back Row,5.3,24-Jul-10,27,22,192,106
Uruguay,Alberto Roman,37,Centre,4.5,14-May-11,28,24,180,96
Canada,Jebb Sinclair,42,Back Row,7.1,1-Nov-08,29,22,193,111
New Zealand,Dane Coles,36,Hooker,3,11-Nov-12,28,25,184,110
New Zealand,Sam Cane,31,Back Row,3.4,16-Jun-12,23,20,189,105
Canada,Liam Underwood,11,Fly Half,2.5,25-May-13,24,22,189,91
Ireland,Mike Ross,56,Prop,6.5,23-May-09,35,29,188,127
South Africa,Coenie Oosthuizen,23,Prop,3.5,9-Jun-12,26,23,187,126
Fiji,Nemia Soqeta,9,Lock,1,8-Nov-14,30,29,196,117
Japan,Yoshikazu Fujita,29,Wing,3.6,5-May-12,22,18,184,90
Georgia,Giorgi Begadze,40,Scrum Half,4.5,15-Jun-11,29,25,178,81
Samoa,Kahn Fotuali'i,28,Scrum Half,5.1,30-Oct-10,33,28,184,94
Australia,Rob Horne,29,Wing,5.5,5-Jun-10,26,21,186,93
Wales,Gareth Davies,9,Scrum Half,1.5,14-Jun-14,25,24,178,90
Australia,Greg Holmes,24,Prop,10.1,5-Nov-05,32,22,187,114
